PersonID,FirstName,LastName,PhoneNumber,ModifiedDate,Name,
1,Ken,Sánchez,697-555-0142,2009-01-07 0:00,Cell,
1,Ken,Sánchez,697-555-0142,2023-02-08 19:48,Home,
2,Terri,Duffy,819-555-0175,2023-02-08 19:50,Cell,
2,Terri,Duffy,819-555-0175,2008-01-24 0:00,Home,
3,Roberto,Tamburello,212-555-0187,2007-11-04 0:00,Cell,
3,Roberto,Tamburello,212-555-0187,2023-02-08 19:48,Home,
4,Rob,Walters,612-555-0100,2007-11-28 0:00,Cell,
4,Rob,Walters,612-555-0100,2023-02-08 19:48,Home,
5,Gail,Erickson,849-555-0139,2007-12-30 0:00,Cell,
5,Gail,Erickson,849-555-0139,2023-02-08 19:48,Home,
6,Jossef,Goldberg,122-555-0189,2023-02-08 19:50,Cell,
6,Jossef,Goldberg,122-555-0189,2013-12-16 0:00,Home,
7,Dylan,Miller,181-555-0156,2023-02-08 19:50,Cell,
7,Dylan,Miller,181-555-0156,2009-02-01 0:00,Home,
8,Diane,Margheim,815-555-0138,2008-12-22 0:00,Cell,
8,Diane,Margheim,815-555-0138,2023-02-08 19:48,Home,
9,Gigi,Matthew,185-555-0186,2009-01-09 0:00,Cell,
9,Gigi,Matthew,185-555-0186,2023-02-08 19:48,Home,
10,Michael,Raheem,330-555-2568,2023-02-08 19:50,Cell,
10,Michael,Raheem,330-555-2568,2009-04-26 0:00,Home,
11,Ovidiu,Cracium,719-555-0181,2010-11-28 0:00,Cell,
11,Ovidiu,Cracium,719-555-0181,2023-02-08 19:48,Home,
12,Thierry,D'Hers,168-555-0183,2023-02-08 19:50,Cell,
12,Thierry,D'Hers,168-555-0183,2007-12-04 0:00,Home,
13,Janice,Galvin,473-555-0117,2023-02-08 19:50,Cell,
13,Janice,Galvin,473-555-0117,2010-12-16 0:00,Home,
14,Michael,Sullivan,465-555-0156,2010-12-23 0:00,Cell,
14,Michael,Sullivan,465-555-0156,2023-02-08 19:48,Home,
15,Sharon,Salavaria,970-555-0138,2011-01-11 0:00,Cell,
15,Sharon,Salavaria,970-555-0138,2023-02-08 19:48,Home,
16,David,Bradley,913-555-0172,2023-02-08 19:50,Cell,
16,David,Bradley,913-555-0172,2007-12-13 0:00,Home,
17,Kevin,Brown,150-555-0189,2007-01-19 0:00,Cell,
17,Kevin,Brown,150-555-0189,2023-02-08 19:48,Home,
18,John,Wood,486-555-0150,2023-02-08 19:50,Cell,
18,John,Wood,486-555-0150,2011-01-31 0:00,Home,
19,Mary,Dempsey,124-555-0114,2011-02-07 0:00,Cell,
19,Mary,Dempsey,124-555-0114,2023-02-08 19:48,Home,
20,Wanida,Benshoof,708-555-0141,2023-02-08 19:50,Cell,
20,Wanida,Benshoof,708-555-0141,2010-12-31 0:00,Home,
21,Terry,Eminhizer,138-555-0118,2009-02-23 0:00,Cell,
21,Terry,Eminhizer,138-555-0118,2023-02-08 19:48,Home,
22,Sariya,Harnpadoungsataya,399-555-0176,2023-02-08 19:50,Cell,
22,Sariya,Harnpadoungsataya,399-555-0176,2008-12-05 0:00,Home,
23,Mary,Gibson,531-555-0183,2023-02-08 19:50,Cell,
23,Mary,Gibson,531-555-0183,2009-01-05 0:00,Home,
24,Jill,Williams,510-555-0121,2023-02-08 19:50,Cell,
24,Jill,Williams,510-555-0121,2009-01-11 0:00,Home,
25,James,Hamilton,870-555-0122,2023-02-08 19:50,Cell,
25,James,Hamilton,870-555-0122,2009-01-27 0:00,Home,
26,Peter,Krebs,913-555-0196,2023-02-08 19:50,Cell,
26,Peter,Krebs,913-555-0196,2008-11-24 0:00,Home,
27,Jo,Brown,632-555-0129,2008-02-20 0:00,Cell,
27,Jo,Brown,632-555-0129,2023-02-08 19:48,Home,
28,Guy,Gilbert,320-555-0195,2023-02-08 19:50,Cell,
28,Guy,Gilbert,320-555-0195,2006-06-23 0:00,Home,
29,Mark,McArthur,417-555-0154,2023-02-08 19:50,Cell,
29,Mark,McArthur,417-555-0154,2009-01-16 0:00,Home,
30,Britta,Simon,955-555-0169,2009-01-22 0:00,Cell,
30,Britta,Simon,955-555-0169,2023-02-08 19:48,Home,
31,Margie,Shoop,818-555-0128,2008-12-28 0:00,Cell,
31,Margie,Shoop,818-555-0128,2023-02-08 19:48,Home,
32,Rebecca,Laszlo,314-555-0113,2008-12-22 0:00,Cell,
32,Rebecca,Laszlo,314-555-0113,2023-02-08 19:48,Home,
33,Annik,Stahl,499-555-0125,2023-02-08 19:50,Cell,
33,Annik,Stahl,499-555-0125,2008-12-10 0:00,Home,
34,Suchitra,Mohan,753-555-0129,2009-02-09 0:00,Cell,
34,Suchitra,Mohan,753-555-0129,2023-02-08 19:48,Home,
35,Brandon,Heidepriem,429-555-0137,2009-02-01 0:00,Cell,
35,Brandon,Heidepriem,429-555-0137,2023-02-08 19:48,Home,
36,Jose,Lugo,587-555-0115,2009-02-03 0:00,Cell,
36,Jose,Lugo,587-555-0115,2023-02-08 19:48,Home,
37,Chris,Okelberry,315-555-0144,2009-02-28 0:00,Cell,
37,Chris,Okelberry,315-555-0144,2023-02-08 19:48,Home,
38,Kim,Abercrombie,208-555-0114,2010-01-09 0:00,Cell,
38,Kim,Abercrombie,208-555-0114,2023-02-08 19:48,Home,
39,Ed,Dudenhoefer,919-555-0140,2023-02-08 19:50,Cell,
39,Ed,Dudenhoefer,919-555-0140,2010-01-29 0:00,Home,
40,JoLynn,Dobney,903-555-0145,2023-02-08 19:50,Cell,
40,JoLynn,Dobney,903-555-0145,2007-12-19 0:00,Home,
41,Bryan,Baker,712-555-0113,2009-01-14 0:00,Cell,
41,Bryan,Baker,712-555-0113,2023-02-08 19:48,Home,
42,James,Kramer,119-555-0117,2008-12-20 0:00,Cell,
42,James,Kramer,119-555-0117,2023-02-08 19:48,Home,
43,Nancy,Anderson,970-555-0118,2008-12-26 0:00,Cell,
43,Nancy,Anderson,970-555-0118,2023-02-08 19:48,Home,
44,Simon,Rapier,963-555-0134,2023-02-08 19:50,Cell,
44,Simon,Rapier,963-555-0134,2008-12-01 0:00,Home,
45,Thomas,Michaels,278-555-0118,2009-02-19 0:00,Cell,
45,Thomas,Michaels,278-555-0118,2023-02-08 19:48,Home,
46,Eugene,Kogan,173-555-0179,2009-02-01 0:00,Cell,
46,Eugene,Kogan,173-555-0179,2023-02-08 19:48,Home,
47,Andrew,Hill,908-555-0159,2009-02-15 0:00,Cell,
